dataset,file,label,feature,missing_rate,outlier_rate_iqr,skewness,kurtosis_excess,n_nonmissing,recommended_missing,recommended_outlier,recommended_normalization,recommended_pipeline
autism,1.csv,,Pupil Diameter Right [mm],0.060641062662431425,0.02600479644023231,0.2601482614468812,-0.4300320927740531,34609,LOCF_or_Mean,ZScore,StandardScaler,LOCF_or_Mean + ZScore + StandardScaler
autism,1.csv,,Pupil Diameter Left [mm],0.060641062662431425,0.04334132740038719,0.10163817390700994,-0.45920497410647476,34609,LOCF_or_Mean,ZScore,StandardScaler,LOCF_or_Mean + ZScore + StandardScaler
autism,1.csv,,Point of Regard Right X [px],0.060641062662431425,0.0,0.20977434874968467,-0.868427999869565,34609,LOCF_or_Mean,ZScore,StandardScaler,LOCF_or_Mean + ZScore + StandardScaler
autism,1.csv,,Point of Regard Right Y [px],0.060641062662431425,0.5316536161114161,0.48889804477446236,0.4423375694875462,34609,LOCF_or_Mean,ZScore,StandardScaler,LOCF_or_Mean + ZScore + StandardScaler
autism,1.csv,,Point of Regard Left X [px],0.060641062662431425,0.0,0.20977434874968467,-0.868427999869565,34609,LOCF_or_Mean,ZScore,StandardScaler,LOCF_or_Mean + ZScore + StandardScaler
autism,1.csv,,Point of Regard Left Y [px],0.060641062662431425,0.5316536161114161,0.48889804477446236,0.4423375694875462,34609,LOCF_or_Mean,ZScore,StandardScaler,LOCF_or_Mean + ZScore + StandardScaler
autism,1.csv,,Gaze Vector Right X,0.060641062662431425,0.0,,0.0,34609,LOCF_or_Mean,IQR_or_IsolationForest,MinMaxScaler,LOCF_or_Mean + IQR_or_IsolationForest + MinMaxScaler
autism,1.csv,,Gaze Vector Right Y,0.060641062662431425,0.0,,0.0,34609,LOCF_or_Mean,IQR_or_IsolationForest,MinMaxScaler,LOCF_or_Mean + IQR_or_IsolationForest + MinMaxScaler
autism,1.csv,,Gaze Vector Right Z,0.060641062662431425,0.0,,0.0,34609,LOCF_or_Mean,IQR_or_IsolationForest,MinMaxScaler,LOCF_or_Mean + IQR_or_IsolationForest + MinMaxScaler
autism,1.csv,,Gaze Vector Left X,0.060641062662431425,0.0,,0.0,34609,LOCF_or_Mean,IQR_or_IsolationForest,MinMaxScaler,LOCF_or_Mean + IQR_or_IsolationForest + MinMaxScaler
autism,1.csv,,Gaze Vector Left Y,0.060641062662431425,0.0,,0.0,34609,LOCF_or_Mean,IQR_or_IsolationForest,MinMaxScaler,LOCF_or_Mean + IQR_or_IsolationForest + MinMaxScaler
autism,1.csv,,Gaze Vector Left Z,0.060641062662431425,0.0,,0.0,34609,LOCF_or_Mean,IQR_or_IsolationForest,MinMaxScaler,LOCF_or_Mean + IQR_or_IsolationForest + MinMaxScaler
autism,10.csv,,Pupil Diameter Right [mm],0.05788265256902506,0.03861078399196896,0.0551280079443195,-0.32816098131345894,51799,LOCF_or_Mean,ZScore,StandardScaler,LOCF_or_Mean + ZScore + StandardScaler
autism,10.csv,,Pupil Diameter Left [mm],0.05788265256902506,0.055985636788354984,0.10476173171722875,-0.20316332499434564,51799,LOCF_or_Mean,ZScore,StandardScaler,LOCF_or_Mean + ZScore + StandardScaler
autism,10.csv,,Point of Regard Right X [px],0.05788265256902506,0.0,0.012999764403937988,-0.8211244601666197,51799,LOCF_or_Mean,ZScore,StandardScaler,LOCF_or_Mean + ZScore + StandardScaler
