dataset,recommended_missing,recommended_outlier,recommended_normalization,n_features
autism,LOCF_or_Mean,IQR_or_IsolationForest,MinMaxScaler,191
autism,LOCF_or_Mean,ZScore,StandardScaler,160
autism,LOCF_or_Mean,IsolationForest,RobustScaler,103
autism,LOCF_or_Mean,MAD_or_IsolationForest,RobustScaler,56
autism,LOCF_or_Mean,IQR_or_IsolationForest,StandardScaler,12
autism,KNN,ZScore,StandardScaler,4
autism,KNN_or_MICE,ZScore,StandardScaler,4
autism,KNN,IQR_or_IsolationForest,MinMaxScaler,2
cheating,KNN_or_MICE_critical,MAD_or_IsolationForest,RobustScaler,723
cheating,KNN_or_MICE_critical,ZScore,StandardScaler,708
cheating,KNN_or_MICE_critical,IQR_or_IsolationForest,MinMaxScaler,357
cheating,LOCF_or_Mean,MAD_or_IsolationForest,RobustScaler,321
cheating,LOCF_or_Mean,ZScore,StandardScaler,287
cheating,LOCF_or_Mean,IQR_or_IsolationForest,MinMaxScaler,223
cheating,KNN_or_MICE_critical,IsolationForest,RobustScaler,166
cheating,LOCF_or_Mean,IsolationForest,RobustScaler,125
cheating,KNN_or_MICE,ZScore,StandardScaler,71
cheating,KNN_or_MICE,IQR_or_IsolationForest,MinMaxScaler,62
cheating,KNN_or_MICE,MAD_or_IsolationForest,RobustScaler,47
cheating,KNN_or_MICE_critical,IQR_or_IsolationForest,StandardScaler,41
cheating,KNN,ZScore,StandardScaler,31
cheating,KNN,MAD_or_IsolationForest,RobustScaler,28
cheating,KNN,IQR_or_IsolationForest,MinMaxScaler,27
cheating,KNN_or_MICE,IsolationForest,RobustScaler,13
cheating,LOCF_or_Mean,IQR_or_IsolationForest,StandardScaler,13
cheating,KNN_or_MICE,IQR_or_IsolationForest,StandardScaler,9
cheating,KNN,IsolationForest,RobustScaler,5
cheating,KNN,IQR_or_IsolationForest,StandardScaler,4
